tag_key,tag_value_format,google_types,google_keywords,osm_tags_any,wikidata_hint,fsq_hint,apply_when,notes
domain:architecture,domain:architecture,"","architecture;brutalist;modern architecture;signature building","architect:wikidata=*;building=*;wikidata=*","Wikidata: has P84 (architect) OR P149 (architectural style) OR notable building classes","Architecture;Landmark;Historic","IF (wikidata has P84 OR P149) OR (osm has architect:wikidata) OR (tags already contains architect:*) OR (keywords strongly indicate architecture)","用于建筑巡礼筛选；不改变主分类"
architect:,architect:<Full Name>,"","", "architect=*;architect:wikidata=*","Wikidata: P84 architect label","", "IF you can extract architect name from wikidata/osm","建议统一英文全名，避免同名歧义；可另存 wikidata QID 在 custom_fields"
style:,style:<Style Name>,"","brutalism;modernism;art nouveau;expressionism","","Wikidata: P149 architectural style label","", "IF you can extract style from wikidata (P149) OR infer from keywords","风格建议用英文标准名；也可加 style_qid 到 custom_fields"
pritzker,pritzker,"","pritzker","","Wikidata: architect has award P166=Pritzker","", "IF architect is in your Pritzker architect set","建筑师获奖标签"
pritzker_year:,pritzker_year:<YYYY>,"","","","Wikidata: award statement with date (P585) year","", "IF you can fetch year from award statement","用于筛选年度/年代"
theme:feminism,theme:feminism,"","feminist;women's;gender equality;women's rights;women's center;feminist bookstore;women's museum","","Wikidata: women’s museum;women’s organization;gender equality related topics","Women's;Feminist;Community Center","IF keywords/theme hit OR wikidata topic hit OR curated list hit","建议保留证据到 custom_fields.evidence_feminism"
meal:brunch,meal:brunch,"brunch_restaurant;breakfast_restaurant","brunch;all day breakfast","cuisine=brunch;breakfast:brunch=*","(结构化不稳定)","Brunch;Breakfast","IF google type indicates OR fsq indicates brunch OR keywords/osm tags indicate","作为餐饮属性，不做主分类"
style:vintage,style:vintage,"","vintage;consignment;antique clothing","clothes=vintage","(结构化不稳定)","Vintage;Consignment","IF keywords/osm/fsq indicates vintage","作为店铺风格属性；主分类仍是 shop/thrift_store"
shop:secondhand,shop:secondhand,"","second hand;thrift;resale;charity shop","shop=second_hand;second_hand=*","second-hand shop","Thrift;Secondhand;Resale","IF second-hand signals hit","用于区分普通 shop 与二手"
alt_category:,alt_category:<category_slug>,"","", "", "","", "IF multiple functional types match (e.g., museum+art_gallery)","用来保留次分类，不改变主 category"
