kind,id,en,zh,priority,allowed_categories,derive_from
facet,Pritzker,Pritzker,普利兹克,95,"","tags:pritzker"
facet,Feminist,Feminist,女性主义,90,"","tags:theme:feminism"

facet,Brunch,Brunch,早午餐,78,"restaurant;cafe;bakery","tags:meal:brunch;google_type:brunch_restaurant;fsq:brunch=true;osm:cuisine=brunch;keywords:brunch"

facet,Japanese,Japanese,日式,66,"restaurant","tags:cuisine:Japanese;keywords:japanese;ramen;sushi"
facet,Korean,Korean,韩式,64,"restaurant","tags:cuisine:Korean;keywords:korean;bbq"
facet,Vietnamese,Vietnamese,越南,64,"restaurant","tags:cuisine:Vietnamese;keywords:vietnamese;pho"
facet,Thai,Thai,泰式,62,"restaurant","tags:cuisine:Thai;keywords:thai"
facet,Chinese,Chinese,中式,60,"restaurant","tags:cuisine:Chinese;keywords:chinese"
facet,Italian,Italian,意式,60,"restaurant","tags:cuisine:Italian;keywords:italian;pizza;pasta"
facet,French,French,法式,58,"restaurant","tags:cuisine:French;keywords:french;bistro"
facet,Spanish,Spanish,西式,56,"restaurant","tags:cuisine:Spanish;keywords:spanish;tapas"
facet,Indian,Indian,印度,56,"restaurant","tags:cuisine:Indian;keywords:indian;curry"
facet,Mexican,Mexican,墨西哥,56,"restaurant","tags:cuisine:Mexican;keywords:mexican;taco"
facet,MiddleEastern,MiddleEastern,中东,54,"restaurant","tags:cuisine:MiddleEastern;keywords:middle eastern;shawarma"
facet,Seafood,Seafood,海鲜,54,"restaurant","tags:cuisine:Seafood;keywords:seafood"
facet,BBQ,BBQ,烧烤,54,"restaurant","tags:cuisine:BBQ;keywords:bbq;grill"

facet,Vintage,Vintage,古着,72,"shop;thrift_store;shopping_mall;bookstore","tags:style:vintage;keywords:vintage;consignment"
facet,Secondhand,Secondhand,二手,70,"shop;thrift_store","tags:shop:secondhand;osm:shop=second_hand;keywords:second hand;thrift"
facet,Curated,Curated,精选,55,"shop;thrift_store;shopping_mall;bookstore","keywords:curated;selection;concept"

facet,Iconic,Iconic,经典,60,"","signals:popularity_high"
facet,HiddenGem,HiddenGem,宝藏,58,"","signals:niche_high"
facet,LocalFavorite,LocalFavorite,本地人爱,56,"","signals:local_favorite"

facet,Photogenic,Photogenic,很出片,52,"","signals:visual_high"

facet,Nature,Nature,自然,50,"park;landmark;zoo","tags:theme:nature;keywords:nature;natural;wildlife"
facet,Culture,Culture,文化,50,"museum;art_gallery;landmark;temple;church","tags:theme:culture;keywords:culture;cultural;heritage"
facet,Historical,Historical,历史,50,"landmark;museum;castle;church;temple","tags:theme:historical;keywords:historical;historic;history"
facet,Fountain,Fountain,喷泉,48,"landmark;park","tags:theme:fountain;keywords:fountain"
facet,Ryokan,Ryokan,日式旅馆,70,"hotel","tags:style:ryokan;keywords:ryokan"

facet,Brutalist,Brutalist,粗野主义,92,"","tags:style:Brutalist*"
facet,Modernist,Modernist,现代主义,88,"","tags:style:Modern*"
facet,Contemporary,Contemporary,当代,78,"","tags:style:Contemporary*;keywords:contemporary"
facet,Minimalist,Minimalist,极简,74,"","tags:style:Minimal*;keywords:minimal"
facet,Industrial,Industrial,工业风,72,"","tags:style:Industrial*;keywords:industrial"
facet,HighTech,HighTech,高技派,74,"","tags:style:High-Tech*;tags:style:HighTech*;keywords:high-tech"
facet,Postmodern,Postmodern,后现代,76,"","tags:style:Postmodern*;keywords:postmodern"
facet,Deconstructivist,Deconstructivist,解构主义,78,"","tags:style:Deconstructiv*;keywords:deconstructiv"
facet,Bauhaus,Bauhaus,包豪斯,82,"","tags:style:Bauhaus*;keywords:bauhaus"
facet,ArtDeco,ArtDeco,装饰艺术,84,"","tags:style:ArtDeco*;tags:style:Art Deco*;keywords:art deco"
facet,ArtNouveau,ArtNouveau,新艺术,86,"","tags:style:ArtNouveau*;tags:style:Art Nouveau*;keywords:art nouveau"
facet,Neoclassical,Neoclassical,新古典,80,"","tags:style:Neoclassical*;keywords:neoclassical"
facet,Renaissance,Renaissance,文艺复兴,78,"","tags:style:Renaissance*;keywords:renaissance"
facet,Baroque,Baroque,巴洛克,78,"","tags:style:Baroque*;keywords:baroque"
facet,Rococo,Rococo,洛可可,74,"","tags:style:Rococo*;keywords:rococo"
facet,Gothic,Gothic,哥特,80,"","tags:style:Gothic*;keywords:gothic"
facet,NeoGothic,NeoGothic,新哥特,74,"","tags:style:Neo-Gothic*;tags:style:NeoGothic*;keywords:neo-gothic"
facet,Expressionist,Expressionist,表现主义,80,"","tags:style:Expressionist*;keywords:expressionist"
facet,Constructivist,Constructivist,构成主义,72,"","tags:style:Constructivist*;keywords:constructivist"
facet,Islamic,Islamic,伊斯兰,70,"","tags:style:Islamic*;keywords:islamic architecture"
facet,Byzantine,Byzantine,拜占庭,70,"","tags:style:Byzantine*;keywords:byzantine"
facet,Romanesque,Romanesque,罗曼式,70,"","tags:style:Romanesque*;keywords:romanesque"
facet,Vernacular,Vernacular,乡土,60,"","tags:style:Vernacular*;keywords:vernacular"
facet,AdaptiveReuse,AdaptiveReuse,旧改,72,"","tags:theme:adaptive_reuse;keywords:adaptive reuse;converted;former;reuse;repurposed"
